Mrpl15
Lypla1
Tcea1
Atp6v1h
Rb1cc1
4732440D04Rik
Pcmtd1
Gm26901
Rrs1
Vcpip1
1700034P13Rik
Sgk3
Mcmdc2
Snhg6
Cops5
Cspp1
Arfgef1
Ncoa2
Tram1
Lactb2
Terf1
Rpl7
Rdh10
Ube2w
Eloc
Tmem70
Ly96
Mcm3
Paqr8
Tram2
Tmem14a
Kcnq5
Ogfrl1
B3gat2
Smap1
Sdhaf4
Lmbrd1
Phf3
Ptp4a1
Ptp4a1.1
Gm37724
Prim2
Rab23
Bag2
Zfp451
Bend6
Dst
Gm37233
Ccdc115
Imp4
Ptpn18
4930568A12Rik
Arhgef4
Gm38336
Fam168b
Plekhb2
Gm37068
Hs6st1
Uggt1
Neurl3
Arid5a
4930403P22Rik
Kansl3
Lman2l
Cnnm4
Cnnm3
Ankrd23
Ankrd39
Sema4c
Cox5b
Actr1b
4933424G06Rik
Zap70
Tmem131
Vwa3b
Inpp4a
Coa5
Unc50
Mgat4a
2010300C02Rik
4930556I23Rik
Tsga10
Gm26805
Lipt1
Mitd1
Mrpl30
Txndc9
Eif5b
Rev1
Aff3
Gm16152
Chst10
Pdcl3
Rpl31
Tbc1d8
Cnot11
Rnf149
Map4k4
Il1rl2
Il18r1
Il18rap
Mfsd9
Mrps9
Gpr45
Tgfbrap1
8430432A02Rik
AI597479
Fhl2
Nck2
Gm29156
Uxs1
Tpp2
Mettl21c
Gm8251
Tex30
Poglut2
Bivm
Ercc5
Wdr75
Slc40a1
Slc39a10
Gm28151
Nabp1
Stat4
Gm31812
Stat1
Gls
Nab1
Nemp2
Mfsd6
Inpp1
Hibch
1700019D03Rik
Pms1
Ormdl1
Osgepl1
Asnsd1
Stk17b
Gtf3c3
Pgap1
Ankrd44
4930444A19Rik
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Rftn2
Mars2
Boll
Plcl1
1700066M21Rik
Tyw5
Maip1
Spats2l
Kctd18
Sgo2a
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Gm15834
Fam126b
Ndufb3
Cflar
Casp8
Trak2
Stradb
Tmem237
G730003C15Rik
Als2
Gm973
Sumo1
Nop58
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Cd28
Gm11579
Ctla4
Icos
Pard3b
Nrp2
Gm4208
Ino80d
Ino80dos
Gm20342
Ndufs1
Eef1b2
Fastkd2
Klf7
Creb1
Mettl21a
Ccnyl1
Fzd5
Plekhm3
Idh1
Pikfyve
Map2
Rpe
Kansl1l
Acadl
Lancl1
Ikzf2
Bard1
Atic
Fn1
Pecr
Xrcc5
Smarcal1
Rpl37a
Tns1
Rufy4
Cxcr2
Arpc2
Aamp
Pnkd
Tmbim1
Catip
Slc11a1
Ctdsp1
Usp37
Cnot9
Zfp142
Bcs1l
Rnf25
Ttll4
Cyp27a1
Nhej1
Slc23a3
Cnppd1
Retreg2
Zfand2b
Abcb6
Atg9a
Ankzf1
Glb1l
Stk16
Tuba4a
A630095N17Rik
Dnajb2
Ptprn
Dnpep
Gmppa
Chpf
Tmem198
Stk11ip
Farsb
Mogat1
Acsl3
Utp14b
Ap1s3
Wdfy1
Mrpl44
Fam124b
Cul3
1700016L21Rik
Dock10
Rhbdd1
Mff
Gm28942
Agfg1
A030005L19Rik
Pid1
Trip12
Fbxo36
C130026I21Rik
A530032D15Rik
Gm10553
A530040E14Rik
Gm7609
AC147806.2
Sp110
Sp140
Sp100
A630001G21Rik
Cab39
Itm2c
Gpr55
Psmd1
Armc9
Gm16341
Ncl
Ptma
Pde6d
Cops7b
Dis3l2
Eif4e2
Gigyf2
Inpp5d
Atg16l1
Sag
Dgkd
Gm19582
Usp40
Ugt1a7c
Dnajb3
Mroh2a
Hjurp
Gm29336
Arl4c
Sh3bp4
Cops8
Lrrfip1
Rbm44
Ramp1
Ube2f
Scly
Ilkap
Hes6
Per2
Traf3ip1
Asb1
Hdac4
Ndufa10
Cops9
Otos
Gpc1
Ankmy1
Dusp28
5033417F24Rik
Rnpepl1
9430060I03Rik
Capn10
Gpr35
Mterf4
Gm28535
Pask
Ppp1r7
Hdlbp
Septin2
Farp2
Stk25
Gm28536
Thap4
Atg4b
Dtymk
Ing5
D2hgdh
Gal3st2c
Pdcd1
Fam174a
St8sia4
Gm28901
D1Ertd622e
Ppip5k2
Gin1
Pam
1810006J02Rik
Gm7967
Gm28187
Pign
Relch
Tnfrsf11a
Gm7160
Zcchc2
Phlpp1
Bcl2
D630008O14Rik
Kdsr
Vps4b
Dsel
Tsn
Nifk
Clasp1
2900060B14Rik
Ralb
Gm27184
Tmem185b
Epb41l5
Ptpn4
Tmem177
Sctr
Tmem37
Dbi
3110009E18Rik
Steap3
Insig2
Ccdc93
Ddx18
Actr3
Slc35f5
Mgat5
Tmem163
Ccnt2
Rab3gap1
Zranb3
Gm28800
R3hdm1
Ubxn4
Mcm6
Dars
Cxcr4
Cd55os
Gm15675
Cd55
Gm16083
Zp3r
Pfkfb2
Yod1
AA986860
Fcmr
Mapkapk2
Dyrk3
Eif2d
Rassf5
Ikbke
Srgap2
Fam72a
Ctse
Rab7b
Slc41a1
Rab29
Nucks1
Elk4
Mfsd4a
Nuak2
F730311O21Rik
Dstyk
Rbbp5
Tmem81
Mdm4
Pik3c2b
Ppp1r15b
Plekha6
Snrpe
Zc3h11a
Zc3h11a.1
Gm38394
Lax1
Atp2b4
Btg2
Chil1
Ppfia4
Tmem183a
Cyb5r1
Adipor1
Platr1
Klhl12
Rabif
Kdm5b
Ppp1r12b
Ube2t
Ptpn7
Arl8a
Gm15445
Rnpep
Timm17a
Ipo9
Nav1
Csrp1
Phlda3
Tnni1
Lad1
Tmem9
Kif21b
Gm26781
Gpr25
Camsap2
Ddx59
Gm33994
Platr23
Zfp281
Gm19705
Mir181a-1hg
Ptprc
Gm28556
Nek7
2310009B15Rik
Dennd1b
Zbtb41
Aspm
Cdc73
B3galt2
Glrx2
Ro60
Uchl5
Rgs2
Rgs1
Rgs18
Pla2g4a
Odr4
Tpr
Prg4
Gm10138
Ivns1abp
Swt1
Trmt1l
Rnf2
Fam129a
2810414N06Rik
Edem3
1700025G04Rik
Tsen15
Rgl1
Arpc5
Ncf2
Smg7
Nmnat2
Lamc1
Shcbp1l
Dhx9
Gm28513
Rnasel
Teddm2
Glul
Cacna1e
Gm29282
Ier5
Mr1
Stx6
Xpr1
Acbd6
Qsox1
Cep350
Tor1aip1
Tor1aip2
Axdnd1
Gm2000
Soat1
Abl2
Tor3a
Fam20b
Ralgps2
4930439D14Rik
Rasal2
Cryzl2
Sec16b
Cop1
4930523C07Rik
4930562F07Rik
Mrps14
Cacybp
Rabgap1l
Gpr52
Rc3h1
Serpinc1
Zbtb37
Dars2
Gm37634
Cenpl
Klhl20
Prdx6
Tnfsf4
Fasl
Suco
4930558K02Rik
Pigc
Dnm3
Eef1aknmt
Vamp4
Prrc2c
Gorab
Kifap3
Scyl3
BC055324
Mettl18
Sell
Selp
Slc19a2
Ccdc181
Blzf1
Nme7
Atp1b1
Gm32391
Gm26685
Xcl1
Tbx19
Sft2d2
Tiprl
Dcaf6
Mpc2
Rcsd1
Creg1
Cd247
Gm37469
Pou2f1
Gm15853
Tada1
Pogk
Fam78b
Uck2
Tmco1
Aldh9a1
Mgst3
Pbx1
Nuf2
Hsd17b7
3110045C21Rik
Uap1
Uhmk1
4930500M09Rik
Sh2d1b1
Nos1ap
Atf6
Dusp12
Gm26620
Fcrlb
Fcrla
Fcgr2b
Fcgr4
Fcgr3
Cfap126
Sdhc
Tomm40l
Apoa2
Fcer1g
Ndufs2
B4galt3
Ppox
Usp21
Ufc1
Gm20045
Dedd
Nit1
Pfdn2
Klhdc9
Nectin4
Arhgap30
Usf1
Tstd1
B930036N10Rik
Alyref2
Cd244a
Ly9
Slamf7
Cd48
Slamf1
Cd84
Gm10521
Gm37065
Slamf6
Vangl2
Ncstn
Copa
Gm37756
Pex19
Dcaf8
Pea15a
Igsf8
Kcnj10
Pigm
Slamf9
Tagln2
Dusp23
Aim2
Ifi206
Ifi214
Ifi213
Ifi209
Ifi208
Ifi207
Ifi204
Mndal
Ifi211
Ifi203
Ifi205
Olfr433
Fh1
Kmo
Chml
Exo1
Cep170
Sdccag8
Akt3
Zbtb18
Adss
Catspere2
Desi2
B230369F24Rik
Cox20
Hnrnpu
Efcab2
Smyd3
Tfb2m
Cnst
Ahctf1
Coq8a
Psen2
Gm31728
Itpkb
Parp1
Lin9
Acbd3
Gm38293
H3f3a
H3f3aos
Sde2
Pycr2
Lefty1
Tmem63a
Ephx1
Nvl
Cnih4
Wdr26
A430110L20Rik
Lbr
Gm5533
Enah
Srp9
Degs1
Fbxo28
Trp53bp2
Capn2
Gm37885
Susd4
Disp1
Brox
Aida
Mia3
Taf1a
Dusp10
1700056E22Rik
Mtarc1
Mtarc2
Rab3gap2
Iars2
Bpnt1
4930532G15Rik
Eprs
Tgfb2
Rrp15
A430105J06Rik
Gpatch2
Gm38155
Kctd3
Cenpf
Ptpn14
Smyd2
Rps6kc1
Angel2
Flvcr1
A230020J21Rik
Tatdn3
Nsl1
Batf3
D730003I15Rik
Nenf
Pacc1
Ppp2r5a
Gm32200
Dtl
Ints7
Lpgat1
Slc30a1
Rd3
Gm26670
Traf5
Rcor3
Hhat
Utp25
Irf6
A130010J15Rik
Traf3ip3
4930570N18Rik
Lamb3
Hsd11b1
G0s2
Cd34
Cd46
Cr1l
Cr2
Nmt2
Rpp38
Dclre1c
Suv39h2
Hspa14
Gm45902
Cdnf
Fam107b
Frmd4a
Prpf18
Bend7
Sephs1
Phyh
Mcm10
Optn
Camk1d
Cdc123
Nudt5
Gm13199
Sec61a2
Upf2
AL845275.1
Usp6nl
Celf2
Gata3
Gm13256
Taf3
Atp5c1
Kin
Itih5
Sfmbt2
Prkcq
Pfkfb3
Rbm17
Il2ra
Il15ra
Fbh1
Ankrd16
Mindy3
Rsu1
Trdmt1
Vim
St8sia6
Hacd1
Stam
Nsun6
Arl5b
Plxdc2
Nebl
Mllt10
Dnajc1
